º Brix;pH
15.1;2.87
20.6;3.4
18.9;3.43
23.1;3.31
19.1;3.25
17.9;2.9
19.5;3.28
16.5;3.12
22.3;3.38
12.9;3.04
16.5;3.14
21.6;3.22
16.9;3.06
23.5;3.25
15.3;3.14
17.7;3.09
20.8;3.44
20.6;3.09
16.7;3.04
18.9;3.22
20.7;3.17
19.7;3.26
20.1;3.3
19.2;3.19
18.4;3.2
17.8;3.07
21.8;3.34
17.4;3.3
19.8;3.32
16.1;3.13
21.5;3.24
18.6;3.34
21.2;3.31
21.9;3.28
18.1;3.15
19.6;3.13
21.9;3.34
20.5;3.27
22.4;3.42
18.7;3.18
21.7;3.22
21.2;3.05
21.3;3.42
23.5;3.17
17.6;3.13
18.6;3.23
21.1;3.22
20.3;3.32
20.7;3.14
14.9;2.99
22.3;3.17
18.7;3.39
21.1;3.46
21.4;3.31
17.9;3.2
20;3.04
22.2;3.31
19.1;3.21
22;3.26
19.4;3.23
19.2;3.21
20.6;3.21
22;3.56
20.6;3.31
18.6;3.2
21.1;3.15
21.7;3.39
20;3.44
19.5;3.21
16.1;3.24
19.8;3.2
21.4;3.24
24.2;3.24
15.3;3.14
16.3;2.97
19.2;3.11
21.3;3.37
20.8;3.12
14.1;3.17
17;3.13
19.7;3.17
25.7;3.55
20;3.29
13.8;3.19
16.4;3.05
23.3;3.35
18.6;3.46
20.5;3.2
